Car_Name,Selling_Price,km_driven,Fuel_Type,Seller_Type,Transmission
Mahindra XUV500 W8 2WD,750000,70000,Diesel,Individual,Manual
Renault Duster 85PS Diesel RxL Optional,600000,120000,Diesel,Individual,Manual
Hyundai Santro Xing XO,80000,58000,Petrol,Dealer,Manual
Mahindra Bolero 2011-2019 SLE,325000,62200,Diesel,Dealer,Manual
Audi A6 2.0 TDI Premium Plus,1470000,34000,Diesel,Dealer,Automatic
Fiat Avventura MULTIJET Emotion,350000,53000,Diesel,Individual,Manual
Audi A8 4.2 TDI,2800000,49000,Diesel,Dealer,Automatic
Datsun RediGO 1.0 S,210000,15000,Petrol,Dealer,Manual
Volkswagen Jetta 1.4 TSI Comfortline,450000,50000,Petrol,Individual,Manual
Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,53000,Diesel,Dealer,Automatic
Honda Civic 1.8 V AT,210000,63500,Petrol,Dealer,Automatic
Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,9800,Petrol,Dealer,Automatic
BMW X1 sDrive 20d xLine,2750000,13000,Diesel,Individual,Automatic
Volvo V40 D3 R Design,1975000,21000,Diesel,Dealer,Automatic
Maruti SX4 Zxi BSIII,175000,29173,Petrol,Dealer,Manual
BMW 7 Series 730Ld,2500000,48000,Diesel,Dealer,Automatic
Mahindra Bolero Power Plus SLX,628000,120000,Diesel,Individual,Manual
Hyundai Sonata CRDi M/T,600000,100000,Diesel,Individual,Manual
Nissan Micra Active XV Petrol,399000,30000,Petrol,Individual,Manual
Mahindra Xylo D4,750000,87000,Diesel,Individual,Manual
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,15000,Petrol,Individual,Manual
Renault KWID RXT,315000,16000,Petrol,Individual,Manual
Mahindra Xylo E4 BS III,600000,60000,Diesel,Individual,Manual
Maruti Wagon R LXI Minor,100000,60000,Petrol,Individual,Manual
Maruti SX4 ZXI MT BSIV,250000,110000,Petrol,Individual,Manual
Renault KWID RXT,350000,25000,Petrol,Individual,Manual
Hyundai Creta 1.4 CRDi S,780000,60000,Diesel,Individual,Manual
Maruti Swift Dzire VDI,434000,79350,Diesel,Individual,Manual
Hyundai Verna 1.6 VTVT AT S Option,690000,80000,Petrol,Individual,Automatic
Mahindra Scorpio LX BSIV,555000,90000,Diesel,Individual,Manual
Maruti SX4 Vxi BSIII,120000,90000,Petrol,Individual,Manual
Maruti Ertiga VDI,500000,120000,Diesel,Individual,Manual
Chevrolet Beat Diesel,165000,60000,Diesel,Individual,Manual
Maruti Zen LX,95000,50000,Petrol,Individual,Manual
Maruti Baleno Delta 1.2,550000,20000,Petrol,Individual,Manual
Maruti Swift Vdi BSIII,100000,110000,Diesel,Individual,Manual
Tata Nano Lx BSIV,100000,50000,Petrol,Individual,Manual
Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,100000,Diesel,Individual,Manual
Maruti Ertiga SHVS VDI,800000,70000,Diesel,Individual,Manual
Hyundai Creta 1.6 CRDi SX,840000,70000,Diesel,Individual,Manual
Honda Amaze S i-Vtech,490000,50000,Petrol,Individual,Manual
Tata Indica Vista Aqua 1.4 TDI,125000,81000,Diesel,Individual,Manual
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,120000,Diesel,Individual,Manual
Chevrolet Cruze LTZ,1000000,3600,Diesel,Dealer,Manual
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,14272,Petrol,Dealer,Manual
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,49213,Diesel,Dealer,Manual
Hyundai i10 Sportz 1.1L,229999,40000,Petrol,Individual,Manual
Maruti 800 Std,40000,40000,Petrol,Individual,Manual
Chevrolet Spark 1.0 LS,130000,80000,Petrol,Individual,Manual
Hyundai EON Era Plus,200000,70000,Petrol,Individual,Manual
Tata Indica Vista Aqua TDI BSIII,120000,70000,Diesel,Individual,Manual
Hyundai Santro LP zipPlus,75000,57000,Petrol,Individual,Manual
Tata Bolt Quadrajet XE,250000,120000,Diesel,Individual,Manual
Maruti 800 AC BSIII,100000,30000,Petrol,Individual,Manual
Hyundai EON Era Plus,280000,3240,Petrol,Individual,Manual
Hyundai i20 Magna 1.2,540000,5000,Petrol,Individual,Manual
Hyundai i20 1.2 Asta,700000,10000,Petrol,Individual,Manual
Maruti Ciaz VDi Plus,525000,100000,Diesel,Individual,Manual
Hyundai i20 Asta 1.4 CRDi,430000,80000,Diesel,Individual,Manual
Hyundai Santro LE,65000,70000,Petrol,Individual,Manual
Maruti Vitara Brezza VDi,800000,35000,Diesel,Individual,Manual
Hyundai Santro Xing XL eRLX Euro III,75000,114000,Petrol,Individual,Manual
Hyundai Getz 1.3 GLS,210000,53772,Petrol,Individual,Manual
Mahindra Quanto C8,195000,140000,Diesel,Individual,Manual
Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,120000,Diesel,Individual,Manual
Hyundai EON Magna Plus,170000,60000,Petrol,Individual,Manual
Renault KWID RXT,225000,25000,Petrol,Individual,Manual
Maruti Wagon R DUO Petrol,210000,90000,Petrol,Individual,Manual
Maruti Wagon R LXI,240000,120000,Petrol,Individual,Manual
Chevrolet Enjoy 1.3 TCDi LS 8,300000,175000,Diesel,Individual,Manual
Chevrolet Spark 1.0 LS,99000,100000,Petrol,Individual,Manual
Honda City i VTEC SV,620000,36000,Petrol,Individual,Manual
Honda Amaze VX i-DTEC,500000,30000,Diesel,Individual,Manual
Jaguar XJ 5.0 L V8 Supercharged,2550000,40000,Petrol,Individual,Automatic
Honda Brio E MT,260000,70000,Petrol,Individual,Manual
Maruti Swift VVT ZXI,550000,60000,Petrol,Individual,Manual
Tata Indigo CR4,150000,155500,Diesel,Individual,Manual
Hyundai i10 Asta AT,350000,50000,Petrol,Individual,Automatic
Chevrolet Beat LT,320000,40000,Petrol,Individual,Manual
Maruti Swift VDI BSIV,400000,100000,Diesel,Individual,Manual
Maruti Alto LXi,175000,80000,Petrol,Individual,Manual
Chevrolet Beat LT,120000,90000,Petrol,Individual,Manual
Renault Duster 110PS Diesel RxZ,320000,90000,Diesel,Individual,Manual
Hyundai Santro Xing XG,70000,110000,Petrol,Individual,Manual
Maruti Swift Dzire ZXI Plus,810000,15000,Petrol,Individual,Manual
Maruti 800 AC,95000,100000,Petrol,Individual,Manual
Maruti Alto K10 LXI CNG,282000,40000,CNG,Individual,Manual
Maruti 800 Std BSII,80000,60000,Petrol,Individual,Manual
Tata Nano LX SE,72000,25000,Petrol,Individual,Manual
Hyundai i20 Magna 1.2,600000,25000,Petrol,Individual,Manual
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000,Petrol,Individual,Manual
Maruti Alto K10 VXI,380000,22155,Petrol,Individual,Manual
Maruti Ciaz 1.4 Delta,650000,70000,Petrol,Individual,Manual
Maruti Alto LX,150000,60000,Petrol,Individual,Manual
Hyundai i20 Asta,280000,110000,Petrol,Individual,Manual
Tata Nexon 1.2 Revotron XM,430000,30000,Petrol,Individual,Manual
Mahindra Bolero Power Plus SLX,800000,15000,Diesel,Individual,Manual
Maruti Zen D,75000,100000,Diesel,Individual,Manual
Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,70000,Diesel,Individual,Automatic
Maruti Eeco 7 Seater Standard BSIV,390000,24000,Petrol,Individual,Manual
Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual
Mercedes-Benz New C-Class 220 CDI AT,1500000,35000,Diesel,Individual,Automatic
Maruti SX4 Zxi with Leather BSIII,175000,78380,Petrol,Individual,Manual
Renault Duster 110PS Diesel RxZ,434999,110000,Diesel,Individual,Manual
Ford Figo Diesel Titanium,170000,90000,Diesel,Individual,Manual
Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual
Maruti Swift Dzire VDi,250000,150000,Diesel,Individual,Manual
Mahindra Xylo E4,229999,230000,Diesel,Individual,Manual
Maruti Esteem Vxi - BSIII,140000,70000,Petrol,Individual,Manual
Maruti Swift VDI BSIV,600000,80362,Diesel,Individual,Manual
Hyundai i20 1.2 Sportz,280000,110000,Petrol,Individual,Manual
Chevrolet Beat Diesel LT,150000,60000,Diesel,Individual,Manual
Chevrolet Cruze LTZ AT,650000,50000,Diesel,Individual,Automatic
Nissan Micra XL,210000,40000,Petrol,Individual,Manual
BMW 5 Series 520d Luxury Line,2900000,40000,Diesel,Individual,Automatic
Chevrolet Enjoy 1.3 TCDi LS 8,425000,20000,Diesel,Dealer,Manual
Hyundai EON Era Plus Option,265000,55000,Petrol,Dealer,Manual
Fiat Linea T Jet Emotion,890000,1136,Petrol,Dealer,Manual
Renault Scala RxL,365000,55000,Petrol,Dealer,Manual
Ford Figo Petrol Titanium,350000,43000,Petrol,Dealer,Manual
Maruti Ciaz ZDi SHVS,685000,60000,Diesel,Individual,Manual
Skoda Rapid 1.5 TDI Ambition BSIV,940000,2650,Diesel,Dealer,Manual
Mahindra XUV500 W6 2WD,1000000,40000,Diesel,Individual,Manual
Mahindra XUV300 W8 Option,1150000,15000,Petrol,Dealer,Manual
Maruti Ertiga SHVS ZDI,450000,115962,Diesel,Individual,Manual
Nissan Terrano XE D,590000,65000,Diesel,Dealer,Manual
Maruti S-Cross Facelift,800000,40000,Diesel,Individual,Manual
Hyundai i20 Magna 1.4 CRDi (Diesel),385000,58000,Diesel,Dealer,Manual
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,15000,Diesel,Individual,Automatic
Hyundai EON Era Plus,235000,54000,Petrol,Dealer,Manual
Volkswagen Ameo 1.5 TDI Highline,640000,56000,Diesel,Dealer,Manual
Maruti Alto LX,52000,120000,Petrol,Individual,Manual
Maruti Omni Petrol CARGO BSIII W IMMOBILISER,80000,90000,Petrol,Individual,Manual
Maruti Alto LX,140000,70000,Petrol,Individual,Manual
Hyundai Verna i (Petrol),120000,90000,Petrol,Individual,Manual
Mahindra Renault Logan 1.5 DLS,89999,213000,Diesel,Individual,Manual
Chevrolet Optra Magnum 2.0 LS BSIII,180000,120000,Diesel,Individual,Manual
Mahindra Scorpio S11 BSIV,1500000,20000,Diesel,Individual,Manual
Hyundai i20 Active 1.2 SX,700000,10000,Petrol,Individual,Manual
Maruti SX4 Celebration Diesel,285000,80000,Diesel,Individual,Manual
Hyundai Grand i10 Magna,390000,90000,Petrol,Individual,Manual
Maruti Alto LXi BSIII,125000,80000,Petrol,Individual,Manual
Maruti SX4 Zxi with Leather BSIII,225000,60000,Petrol,Individual,Manual
Hyundai i10 Era,175000,139000,Petrol,Individual,Manual
Toyota Innova 2.5 V Diesel 7-seater,1075000,160000,Diesel,Individual,Manual
Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,163000,Diesel,Individual,Manual
Tata Indica V2 2001-2011 DLS BSIII,90000,120000,Diesel,Dealer,Manual
Tata Indica Vista TDI LS,120000,120000,Diesel,Individual,Manual
Chevrolet Beat Diesel LS,220000,100000,Diesel,Individual,Manual
Tata Zest Quadrajet 1.3 75PS XE,300000,140000,Diesel,Dealer,Manual
Skoda Fabia 1.2L Diesel Ambiente,180000,87000,Diesel,Dealer,Manual
Maruti 800 Std,170000,70000,Petrol,Individual,Manual
Ford Figo Petrol Titanium,300000,50000,Petrol,Individual,Manual
Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,70000,Diesel,Individual,Manual
Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual
Hyundai Grand i10 1.2 CRDi Asta,465000,25000,Diesel,Individual,Manual
Chevrolet Beat Diesel LT,130000,80000,Diesel,Individual,Manual
Datsun GO Plus T Option Petrol,434999,10000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 Kappa Asta,500000,32000,Petrol,Individual,Manual
Maruti Omni MPI STD BSIV,200000,10000,Petrol,Individual,Manual
Maruti Baleno Alpha 1.2,625000,52000,Petrol,Dealer,Manual
Ford Fiesta Classic 1.4 SXI Duratorq,110000,120000,Diesel,Individual,Manual
Hyundai Elite i20 Asta Option BSIV,800000,11240,Petrol,Individual,Manual
Hyundai Grand i10 CRDi Magna,490000,66000,Diesel,Dealer,Manual
Maruti Ertiga SHVS ZDI,880000,64000,Diesel,Dealer,Manual
Hyundai Santro Xing GL Plus,290000,49000,Petrol,Individual,Manual
Tata Sumo GX TC 7 Str BSIII,115999,100000,Diesel,Individual,Manual
Renault KWID RXT,360000,26500,Petrol,Individual,Manual
Maruti 800 AC,65000,100000,Petrol,Individual,Manual
Maruti Vitara Brezza LDi Option,685000,72000,Diesel,Dealer,Manual
Honda Jazz S,300000,50000,Petrol,Individual,Manual
Hyundai i20 1.4 Sportz,680000,44000,Diesel,Dealer,Manual
Maruti Ertiga SHVS ZDI Plus,1000000,60000,Diesel,Individual,Manual
Tata Sumo SE Plus BSIII,100000,120000,Diesel,Individual,Manual
Mahindra Xylo E4,160000,130000,Diesel,Individual,Manual
Maruti Swift ZDi BSIV,450000,70000,Diesel,Individual,Manual
Maruti Ertiga VXI,600000,20000,Petrol,Individual,Manual
Hyundai i20 1.4 Magna ABS,180000,60000,Diesel,Individual,Manual
Maruti Alto LXi,100000,195000,Petrol,Individual,Manual
Maruti Alto LXi,120000,90000,Petrol,Individual,Manual
Hyundai Getz GL,130000,80000,Petrol,Individual,Manual
Maruti Wagon R LX BS IV,160000,155000,Petrol,Individual,Manual
Mahindra Bolero Power Plus SLX,860000,35000,Diesel,Individual,Manual
Hyundai i20 1.2 Spotz,650000,20000,Petrol,Individual,Manual
Maruti Wagon R LXI Minor,100000,80000,Petrol,Individual,Manual
Maruti Alto 800 VXI,282000,20000,Petrol,Individual,Manual
Hyundai i20 Asta (o),300000,50000,Petrol,Individual,Manual
Hyundai i20 Asta,270000,110000,Petrol,Individual,Manual
Hyundai Verna 1.6 SX CRDi (O),550000,29000,Diesel,Individual,Manual
Mahindra Xylo D2 BSIV,450000,120000,Diesel,Individual,Manual
Mahindra Bolero SLX 2WD BSIII,430000,70000,Diesel,Individual,Manual
Maruti Ertiga VXI ABS,350000,40000,Petrol,Individual,Manual
Honda Brio 1.2 E MT,350000,20000,Petrol,Individual,Manual
Toyota Etios Liva G,229999,50000,Petrol,Individual,Manual
Maruti Alto 800 LXI,110000,50000,Petrol,Individual,Manual
Maruti Swift Dzire 1.2 Vxi BSIV,395000,49000,Petrol,Individual,Manual
Mahindra Scorpio VLS AT 2.2 mHAWK,650000,70000,Diesel,Individual,Automatic
Mahindra Bolero SLX,350000,90000,Diesel,Individual,Manual
Mahindra XUV500 W11 Option AWD,1400000,25000,Diesel,Dealer,Manual
Tata Tiago 1.2 Revotron XZ,360000,4000,Petrol,Individual,Manual
Mahindra Marazzo M8 8Str,1300000,10000,Diesel,Individual,Manual
Renault Duster 110PS Diesel RxL,800000,15000,Diesel,Individual,Manual
Hyundai EON Magna Plus,229999,30000,Petrol,Individual,Manual
Maruti Wagon R VXI,315000,41000,Petrol,Dealer,Manual
Chevrolet Spark 1.0 LT,125000,28000,Petrol,Individual,Manual
Maruti Baleno Alpha,700000,16000,Petrol,Individual,Manual
Hyundai EON 1.0 Kappa Magna Plus,160000,70000,Petrol,Individual,Manual
Ford Figo Aspire 1.2 Ti-VCT Trend,530000,10832,Petrol,Dealer,Manual
Ford Figo Aspire Facelift,624000,14681,Diesel,Dealer,Manual
Hyundai i10 Era,250000,50000,Petrol,Individual,Manual
Mahindra Bolero SLX,585000,51000,Diesel,Dealer,Manual
Hyundai Verna 1.4 VTVT,500000,25000,Petrol,Individual,Manual
Chevrolet Sail 1.2 LT ABS,350000,30000,Petrol,Individual,Manual
Honda City i-DTEC SV,495000,80000,Diesel,Dealer,Manual
Hyundai Grand i10 1.2 Kappa Asta,500000,50000,Petrol,Individual,Manual
Mahindra Bolero Power Plus Plus AC BSIV PS,430000,200000,Diesel,Individual,Manual
Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000,Petrol,Dealer,Manual
Maruti Baleno Sigma 1.2,500000,10000,Petrol,Individual,Manual
Tata Tiago 1.2 Revotron XZ,425000,19600,Petrol,Individual,Manual
Maruti Wagon R LXI,80000,40000,Petrol,Individual,Manual
Chevrolet Beat Diesel LS,106000,50000,Diesel,Individual,Manual
Maruti A-Star Vxi,180000,46730,Petrol,Individual,Manual
Datsun GO A,250000,40000,Petrol,Individual,Manual
Skoda Yeti Ambition 4WD,350000,80000,Diesel,Individual,Manual
Maruti Zen LXi BSII,60000,80000,Petrol,Individual,Manual
Hyundai Verna CRDi 1.6 EX,900000,24000,Diesel,Individual,Manual
Ford Aspire Titanium Diesel BSIV,700000,21170,Diesel,Dealer,Manual
BMW 3 Series 320d Sport,2000000,167223,Diesel,Dealer,Automatic
Maruti Ertiga SHVS ZDI Plus,1000000,40000,Diesel,Individual,Manual
BMW X1 sDrive 20d Exclusive,1375000,60000,Diesel,Individual,Automatic
Toyota Innova Crysta 2.4 VX MT,1800000,141440,Diesel,Dealer,Manual
Chevrolet Tavera Neo 3 10 Seats BSIV,160000,120000,Diesel,Individual,Manual
Mitsubishi Outlander 2.4,525000,140000,Petrol,Individual,Automatic
Mahindra XUV500 W8 2WD,850000,212814,Diesel,Dealer,Manual
Maruti Baleno Alpha 1.3,800000,30000,Diesel,Individual,Manual
Ford Figo Aspire 1.5 TDCi Titanium,700000,88635,Diesel,Dealer,Manual
Maruti Swift Dzire VDI,800000,25000,Diesel,Individual,Manual
Hyundai i20 1.2 Spotz,575000,20000,Petrol,Individual,Manual
Renault Duster 110PS Diesel RxZ,350000,110000,Diesel,Individual,Manual
Maruti Swift Vdi BSIII,250000,120000,Diesel,Individual,Manual
Ford Endeavour Titanium 4X2,600000,149674,Diesel,Dealer,Manual
Mahindra Scorpio 2.6 Turbo 9 Str,370000,100000,Diesel,Individual,Manual
Maruti Baleno Vxi,80000,120000,Petrol,Individual,Manual
Tata Indica DLX,50000,120000,Diesel,Individual,Manual
Hyundai Verna CRDi 1.6 EX,900000,25000,Diesel,Individual,Manual
Maruti Wagon R VXI BS IV,300000,35000,Petrol,Individual,Manual
Tata Indica LSI,125000,40000,Petrol,Individual,Manual
Maruti Swift Dzire VDI,490000,60000,Diesel,Individual,Manual
Toyota Etios Liva GD,300000,50000,Diesel,Individual,Manual
Tata Nano STD,55000,25000,Petrol,Individual,Manual
Hyundai Grand i10 Sportz,350000,25000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 CRDi Asta,755000,8000,Diesel,Individual,Manual
Maruti Ertiga SHVS VDI,720000,60000,Diesel,Individual,Manual
Mahindra Bolero SLX,229999,200000,Diesel,Individual,Manual
Mahindra Scorpio S7 140 BSIV,1100000,20000,Diesel,Individual,Manual
Volkswagen Polo Petrol Comfortline 1.2L,400000,100000,Petrol,Individual,Manual
Hyundai Xcent 1.1 CRDi Base,350000,70000,Diesel,Individual,Manual
Chevrolet Beat Diesel PS,159000,68000,Diesel,Dealer,Manual
Maruti Swift ZXi BSIV,550000,38000,Petrol,Dealer,Manual
Maruti Ritz VDi,335000,80000,Diesel,Dealer,Manual
Tata Indigo CS Emax CNG GLX,185000,72000,CNG,Dealer,Manual
Maruti Eeco 5 STR With AC Plus HTR CNG,229999,75000,CNG,Dealer,Manual
Maruti Estilo LXI,225000,43000,Petrol,Dealer,Manual
Maruti Swift VXI with ABS,250000,120000,Petrol,Individual,Manual
Tata Zest Quadrajet 1.3 XM,400000,100000,Diesel,Individual,Manual
Maruti Swift VDI BSIV,470000,163000,Diesel,Individual,Manual
Maruti Alto K10 VXI AGS Optional,300000,25000,Petrol,Individual,Automatic
Maruti Alto LX,145000,25000,Petrol,Individual,Manual
Maruti SX4 Vxi BSIII,100000,90000,Petrol,Individual,Manual
Mahindra Scorpio SLE BSIV,500000,70000,Diesel,Individual,Manual
Hyundai Santro Xing GLS CNG,130000,98000,CNG,Individual,Manual
Chevrolet Cruze LTZ,240000,81925,Diesel,Individual,Manual
Ford Figo Diesel Celebration Edition,150000,80000,Diesel,Individual,Manual
Renault KWID RXT Optional,270000,40000,Petrol,Individual,Manual
Maruti Swift Dzire VDI,400000,90000,Diesel,Individual,Manual
Hyundai EON Era Plus,200000,46000,Petrol,Individual,Manual
Mahindra XUV500 W6 2WD,550000,80000,Diesel,Individual,Manual
Renault KWID 1.0 RXT Optional,325000,35000,Petrol,Individual,Manual
Skoda Rapid 1.5 TDI AT Style BSIV,860000,82080,Diesel,Individual,Automatic
Mahindra XUV500 W8 2WD,600000,200000,Diesel,Individual,Manual
Chevrolet Spark 1.0,125000,70000,Petrol,Individual,Manual
Maruti 800 AC,60000,40000,Petrol,Individual,Manual
Chevrolet Tavera Neo 3 10 Seats BSIV,300000,120000,Diesel,Individual,Manual
Ford Fiesta 1.6 ZXi Duratec,190000,60000,Petrol,Individual,Manual
Maruti Ertiga VDI,400000,110000,Diesel,Individual,Manual
Tata Manza Aura Quadrajet BS IV,260000,97000,Diesel,Individual,Manual
Maruti Swift VVT VXI,400000,30000,Petrol,Individual,Manual
Hyundai i20 Sportz Petrol,250000,40000,Petrol,Individual,Manual
